cellule ;largeur de bande;charge_CCE;charge_PRB;CQI;débit;NBR_UE;Trafic ;congested 
18255;15;5,157068768;7,666666667;11,50079609;17,3874054;1,002132586;0,352591753;0
18256;10;14,08701509;23,16666667;10,38756028;17,39912415;1,096937924;1,963815928;0
18257;15;3,764740818;11;10,50412194;17,39928055;1,125996251;1,085109115;0
18258;15;14,35474751;19,83333333;10,80566545;17,39983749;1,33904659;2,924334049;0
18259;10;7,911502869;10,33333333;12,5803073;17,40529442;1,10444215;1,091789722;0
18260;10;4,916074282;5,166666667;12,56140729;17,41389656;0,936614029;0,026471853;0
18261;15;10,38345824;14,83333333;8,200602847;17,41414833;1,104342144;1,442000031;0
18262;15;15,57680876;24,33333333;10,92130322;17,41626549;1,293576685;3,312573075;0
18263;15;9,631242149;15;11,8918492;17,4180336;1,187088036;1,776261449;0
18264;15;13,21193428;21,16666667;11,9627937;17,42019463;1,311186289;2,796922326;0
18265;15;5,188142337;5,333333333;13,06543979;17,42091179;1,021840365;0,169064879;0
18266;15;10,18172618;22,83333333;11,04236906;17,42168617;1,113958682;2,053142667;0
18267;15;12,34117134;18,66666667;12,03178014;17,42297745;1,180123768;2,103580594;0
18268;10;5,094409004;5,5;10,89932022;17,42438316;1,030064996;0,061558366;0
18269;15;4,589742288;8,833333333;13,41442391;17,42580986;1,061733725;0,934903383;0
18270;15;7,351621332;13;12,49695079;17,42695427;1,08568668;1,388971686;0
18271;15;8,63200461;11,16666667;11,52793757;17,43403435;1,128608929;1,322465181;0
18272;15;11,91183088;18,33333333;11,68268156;17,43531227;1,188129685;2,361141443;0
18273;15;11,92858671;18,66666667;11,46925698;17,43838501;1,202734501;1,608685851;0
18274;10;8,830015742;12,33333333;11,23454319;17,43959427;1,066667226;1,057501316;0
18275;15;5,590199765;6,833333333;10,39750155;17,44018936;1,005441464;0,402974725;0
18276;15;9,894862052;12,5;9,631208416;17,44084167;1,109523389;1,279854536;0
18277;15;10,50884136;18,5;11,67592212;17,44457436;1,21089467;2,527212858;0
